iata,name;city#countryName!regionName
CLO,Alfonso B. Aragon Airport;Cali#Colombia!South America
KGT,Kangding Airport;Kangding#China!Asia
RHP,Ramechhap Airport;Ramechhap#Nepal!Asia
BJU,Bajura Airport;Bajura#Nepal!Asia
BUD,Budapest Ferenc Liszt International Airport;Budapest#Hungary!Europe
AWT,Awantipur;Awantipur#India!Asia
USH,Malvinas Argentinas International Airport;Ushuaia#Argentina!South America
RTM,Rotterdam The Hague Airport;Rotterdam#Netherlands!Europe
RST,Rochester International Airport;Rochester#United States!North America
HTY,Hatay Airport;Antakya#Turkey!Europe
YTF,Alma Airport;Alma#Canada!North America
ITA,Itacoatiara Airport;Itacoatiara#Brazil!South America
AOK,Karpathos Airport;Karpathos#Greece!Europe
IZA,Zona da Mata Regional Airport;Juiz de Fora#Brazil!South America
BQG,Bogorodskoye Airport;Bogorodskoye#Russian Federation!Europe
VBM,Blue Mountain Airport;Blue Mountain#United States!North America
ESL,Elista Airport;Elista#Russian Federation!Europe
VKT,Vorkuta Airport;Vorkuta#Russian Federation!Europe
DDU,Dadu Airport;Dadu#Pakistan!Asia
IXG,Sambre Airport;Belgaum#India!Asia
KJI,Kanasi Airport;Buerjin#China!Asia
DQA,Daqing Shi Airport ;Daqing#China!Asia
VDH,Dong Hoi Airport;Dong Hoi#Viet Nam!Asia
OHS,Sohar Airport;Sohar#Oman!Middle East
ODO,Bodaybo Airport;Bodaybo#Russian Federation!Europe
NOU,Tontouta Airport;Noumea#New Caledonia!Oceania
AGX,Agatti Island Airport;Agatti Island#India!Asia
DMM,King Fahad International Airport;Dammam#Saudi Arabia!Middle East
AVL,Asheville Regional Airport;Asheville#United States!North America
DUT,Unalaska Airport;Dutch Harbor#United States!North America
HIJ,Hiroshima Airport;Hiroshima#Japan!Asia
CBI,Cape Barren Island Airport;Cape Barren Island#Australia!Oceania
SBP,San Luis Obispo County Regional Airport;San Luis Obispo#United States!North America
KMS,Kumasi Airport;Kumasi#Ghana!Africa
PSR,Abruzzo Airport;Pescara#Italy!Europe
DUR,King Shaka International Airport;Durban#South Africa!Africa
AEB,Baise Bama Airport;Baise#China!Asia
HUW,Humaita Airport;Humaita#Brazil!South America
NKG,Nanjing Lukou International Airport;Nanking#China!Asia
LAW,Lawton-Fort Sill Regional Airport;Lawton#United States!North America
TGZ,Angel Albino Corzo International Airport;Tuxtla Gutierrez#Mexico!North America
KRB,Karumba Airport;Karumba#Australia!Oceania
EBL,Erbil International Airport;Erbil#Iraq!Middle East
ZPC,Pucon Airport;Pucon#Chile!South America
LUW,Bubung Airport;Luwuk#Indonesia!Asia
BKZ,Bukoba Airport;Bukoba#United Republic of Tanzania!Africa
AKT,Akrotiri Royal Air Force;Akrotiri#Cyprus!Europe
IWO,Iwo Jima Air Base;Iwo Jima Vol#Japan!Asia
ISP,Long Island MacArthur Airport;Ronkonkoma#United States!North America
GNY,Sanliurfa GAP Airport;Golgen#Turkey!Europe
SFG,Esperance Airport;Saint Martin#Saint Martin!Caribbean
ULD,Prince Mangosuthu Buthelezi Airport;Ulundi#South Africa!Africa
DCN,RAAF Base Curtin;Curtin#Australia!Oceania
CVJ,Cuernavaca Airport;Cuernavaca#Mexico!North America
AOT,Corrado Gex Airport;Aosta#Italy!Europe
MPW,Mariupol Airport;Mariupol#Ukraine!Europe
YCU,Yuncheng Airport;Yuncheng#China!Asia
KTR,Tindal Airport;Katherine#Australia!Oceania
TII,Tereen Airport;Tarin Kot#Afghanistan!Asia
THU,Pituffik Airport;Pituffik#Greenland!North America
RUN,Reunion Roland Garros Airport;Saint Denis de la Reunion#Reunion!Africa
SQQ,Siauliai International Airport;Siauliai#Lithuania!Europe
BVV,Burevestnik Airport;Burevestnik#Russian Federation!Europe
CYE,Crystal Lake Airport;Crystal Lake#United States!North America
DLE,Dole-Jura Airport;Dole#France!Europe
OPS,Sinop Airport;Sinop#Brazil!South America
ZKE,Kashechewan Airport;Kaschechewan#Canada!North America
BIL,Billings Logan International Airport;Billings#United States!North America
YZV,Sept-Iles Airport;Sept-Iles#Canada!North America
SUJ,Satu Mare International Airport;Satu Mare#Romania!Europe
NTD,Naval Base Ventura County;Oxnard#United States!North America
DTM,Dortmund Airport;Dortmund#Germany!Europe
CGN,Cologne Bonn Airport;Cologne#Germany!Europe
BHV,Bahawalpur Airport;Bahawalpur#Pakistan!Asia
OPF,Opa-locka Executive Airport;Miami#United States!North America
WLH,Walaha Airport;Walaha#Vanuatu!Oceania
PRC,Prescott Airport;Prescott#United States!North America
GEA,Noumea Magenta Airport;Noumea#New Caledonia!Oceania
CRA,Craiova Airport;Craiova#Romania!Europe
KWT,Kwethluk Airport;Kwethluk#United States!North America
CGA,Craig Seaplane Base;Craig#United States!North America
LHR,London Heathrow Airport;London#United Kingdom!Europe
MYR,Myrtle Beach International Airport;Myrtle Beach#United States!North America
CNM,Carlsbad Airport;Carlsbad#United States!North America
FDH,Friedrichshafen Airport;Friedrichshafen#Germany!Europe
BAH,Bahrain International Airport;Bahrain#Bahrain!Middle East
PKR,Pokhara Airport;Pokhara#Nepal!Asia
NUI,Nuiqsut Airport;Nuiqsut#United States!North America
GYA,Guayaramerin Airport;Guayaramerin#Bolivia!South America
KBP,Boryspil International Airport;Kiev/Kyiv#Ukraine!Europe
PGK,Depati Amir Airport;Pangkal Pinang#Indonesia!Asia
MMY,Miyako Airport;Miyako#Japan!Asia
BUS,Batumi Airport;Batumi#Georgia!Europe
PUJ,Punta Cana International Airport;Punta Cana#Dominican Republic!Caribbean
DJB,Sultan Thaha Airport;Jambi#Indonesia!Asia
KXK,Khurba Airport;Komsomolsk Na Amure#Russian Federation!Europe
PAS,Paros Airport;Paros#Greece!Europe
TAY,Tartu Airport;Tartu#Estonia!Europe
PSG,Petersburg Municipal Airport;Petersburg#United States!North America
SIP,Simferopol International Airport;Simferopol#Ukraine!Europe
BMC,Brigham City Airport;Brigham City#United States!North America
MHL,Memorial Municipal Airport;Marshall#United States!North America
MSP,Minneapolis-St. Paul International Airport;Minneapolis#United States!North America
KZD,Krakor Airport;Krakor#Cambodia!Asia
TNL,Ternopol Airport;Ternopol#Ukraine!Europe
MHT,Manchester Boston Regional Airport;Manchester#United States!North America
DRK,Drake Bay Airport;Drake Bay#Costa Rica!Central America
DRG,Deering Airport;Deering#United States!North America
BXB,Babo Airport;Babo#Indonesia!Asia
SZW,Parchim Airport;Schwerin#Germany!Europe
EBH,El Bayadh Airport;El Bayadh#Algeria!Africa
SJZ,Sao Jorge Island Airport;Sao Jorge Island#Portugal!Europe
ISU,Sulaimaniyah International Airport;Sulaimaniyah#Iraq!Middle East
HYD,Rajiv Gandhi International Airport;Hyderabad#India!Asia
BER,Berlin Brandenburg Airport;Berlin#Germany!Europe
MYQ,Mysore Airport;Mysore#India!Asia
NBE,Enfidha - Hammamet International Airport ;Enfidha#Tunisia!Africa
SWT,Strzhewoi Airport;Strzhewoi#Russian Federation!Europe
IND,Indianapolis International Airport;Indianapolis#United States!North America
JKL,Kalymnos Island National Airport;Kalymnos#Greece!Europe
CAJ,Canaima Airport;Canaima#Venezuela!South America
CHU,Chuathbaluk Airport;Chuathbaluk#United States!North America
GOU,Garoua Airport;Garoua#Cameroon!Africa
