ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
AAH,Aachen/Merzbruck Airport;Aachen#Germany!Europe
AAL,Aalborg Airport;Aalborg#Denmark!Europe
AES,Vigra Alesund Airport;Aalesund#Norway!Europe
AOQ,Aappilattoq Heliport (Upernavik);Aappilattoq#Greenland!North America
QUV,Aappilattoq Heliport (Nanortalik);Aappilattoq#Greenland!North America
AAR,Aarhus Airport;Aarhus#Denmark!Europe
JEG,Aasiaat Airport;Aasiaat#Greenland!North America
ABD,Abadan Airport;Abadan#Iran!Asia
ABF,Abaiang Airport;Abaiang#Kiribati!Oceania
ABA,Abakan Airport;Abakan#Russian Federation!Europe
ABW,Abau Airport;Abau#Papua New Guinea!Asia
YXX,Abbotsford Airport;Abbotsford#Canada!North America
AAW,Abbottabad Airport;Abbottabad#Pakistan!Asia
EAB,Abbse Airport;Abbse#Republic of Yemen!Middle East
AEH,Abecher Airport;Abecher#Chad!Africa
AEA,Abemama Atoll Airport;Abemama Atoll#Kiribati!Oceania
OGO,Abengourou Airport;Abengourou#Cote d'Ivoire!Africa
ABR,Aberdeen Municipal Airport;Aberdeen#United States!North America
APG,Phillips Army Air Field;Aberdeen#United States!North America
ABZ,Aberdeen International Airport;Aberdeen#United Kingdom!Europe
AHB,Abha Regional Airport;Abha#Saudi Arabia!Middle East
ABJ,Felix Houphouet Boigny Airport;Abidjan#Cote d'Ivoire!Africa
DYS,Dyess Air Force Base;Abilene#United States!North America
ABI,Abilene Regional Airport;Abilene#United States!North America
ABG,Abingdon Airport;Abingdon#Australia!Oceania
VJI,Virginia Highlands Airport;Abingdon#United States!North America
ABO,Aboisso Airport;Aboisso#Cote d'Ivoire!Africa
AOD,Abou Deia Airport;Abou Deia#Chad!Africa
AJS,Abreojos Airport;Abreojos#Mexico!North America
AUH,Abu Dhabi International Airport;Abu Dhabi#United Arab Emirates!Middle East
DHF,Al Dhafra Military Airport;Abu Dhabi#United Arab Emirates!Middle East
AZI,Bateen Airport;Abu Dhabi#United Arab Emirates!Middle East
AEU,Abu Musa Airport;Abu Musa#Iran!Asia
AUE,Abu Rudeis Airport;Abu Rudeis#Egypt!Middle East
ABS,Abu Simbel Airport;Abu Simbel#Egypt!Middle East
ABV,Nnamdi Azikiwe International Airport;Abuja#Nigeria!Africa
PTP,Pointe-a-Pitre International Airport;Abymes#Guadeloupe!Caribbean
ACD,Acandi Airport;Acandi#Colombia!South America
ACA,Acapulco International Airport;Acapulco#Mexico!North America
ARF,Acaricuara Airport;Acaricuara#Colombia!South America
AGV,Acarigua Airport;Acarigua#Venezuela!South America
ACC,Kotoka International Airport;Accra#Ghana!Africa
ACS,Achinsk Airport;Achinsk#Russian Federation!Europe
ACU,Achutupo Airport;Achutupo#Panama!Central America
ADT,Ada Airport;Ada#United States!North America
ADK,Adak Island Naval Station;Adak Island#United States!North America
UAB,Incirlik Air Base;Adana#Turkey!Europe
ADA,Adana Airport;Adana#Turkey!Europe
AAD,Ad-Dabbah Airport;Ad-Dabbah#Sudan!Africa
ADD,Addis Ababa Bole International Airport;Addis Ababa#Ethiopia!Africa
ADL,Adelaide Airport;Adelaide#Australia!Oceania
ADE,Aden International Airport;Aden#Republic of Yemen!Middle East
ADF,Adiyaman Airport;Adiyaman#Turkey!Europe
AER,Sochi International Airport;Adler/Sochi#Russian Federation!Europe
AZR,Adrar Airport;Adrar#Algeria!Africa
ADG,Lenawee County Airport;Adrian#United States!North America
AFR,Afore Airport;Afore#Papua New Guinea!Asia
AFO,Afton Municipal Airport;Afton#United States!North America
AFT,Afutara Aerodrome;Afutara#Solomon Islands!Oceania
AFY,Afyon Airport;Afyon#Turkey!Europe
AJY,Manu Dayak International Airport;Agades#Niger!Africa
AGA,Agadir Al Massira Airport;Agadir#Morocco!Africa
IXA,Agartala Airport;Agartala#India!Asia
AGX,Agatti Island Airport;Agatti Island#India!Asia
AUP,Agaun Airport;Agaun#Papua New Guinea!Asia
AGF,La Garenne Airport;Agen#France!Europe
AGZ,Aggeneys Airport;Aggeneys#South Africa!Africa
AKW,Aghajari Airport;Aghajari#Iran!Asia
AGW,Agnew Airport;Agnew#Australia!Oceania
AGR,Kheria Airport;Agra#India!Asia
AJI,Agri Airport;Agri#Turkey!Europe
AGQ,Agrinion Airport;Agrinion#Greece!Europe
ACL,Aguaclara Airport;Aguaclara#Colombia!South America
BQN,Rafael Hernandez Airport;Aguadilla#Puerto Rico!Caribbean
AGU,Aguascalients International Airport;Aguascalientes#Mexico!North America
AGJ,Aguni Airport;Aguni#Japan!Asia
AHE,Ahe Airport;Ahe#French Polynesia!Oceania
AMD,Ahmedabad Airport;Ahmedabad#India!Asia
AHS,Ahuas Airport;Ahuas#Honduras!Central America
AWZ,Ahwaz Airport;Ahwaz#Iran!Asia
AIW,Ai-Ais Airport;Ai-Ais#Namibia!Africa
AIH,Aiambak Airport;Aiambak#Papua New Guinea!Asia
AIK,Aiken Municipal Airport;Aiken#United States!North America
AIL,Ailigandi Airport;Ailigandi#Panama!Central America
AIP,Ailinglapalap Island Airport;Ailinglapalap Island#Marshall Islands!Oceania
AIM,Ailuk Island Airport;Ailuk Island#Marshall Islands!Oceania
ANW,Ainsworth Airport;Ainsworth#United States!North America
AIE,Aiome Airport;Aiome#Papua New Guinea!Asia
AEO,Aioun El Atrouss Airport;Aioun El Atrouss#Mauritania!Africa
WSY,Whitsunday Airstrip;Airlie Beach#Australia!Oceania
AIC,Airok Airport;Airok#Marshall Islands!Oceania
AHL,Aishalton Airport;Aishalton#Guyana!South America
TAJ,Tadji Airport;Aitape#Papua New Guinea!Asia
ATP,Aitape Airstrip;Aitape#Papua New Guinea!Asia
AIT,Aitutaki Airport;Aitutaki#Cook Islands!Oceania
AYU,Aiyura Airport;Aiyura#Papua New Guinea!Asia
AJL,Aizawl Airport;Aizawl#India!Asia
AJA,Ajaccio Napoleon Bonaparte Airport;Ajaccio#France!Europe
AKK,Akhiok Sea Plane Base;Akhiok#United States!North America
KKI,Akiachak Sea Plane Base;Akiachak#United States!North America
AKI,Akiak Airport;Akiak#United States!North America
