iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
CLO,Alfonso B. Aragon Airport,Cali,Colombia,South America,-5,3.543056,-76.381389
KGT,Kangding Airport,Kangding,China,Asia,8,30.13176,101.747534
RHP,Ramechhap Airport,Ramechhap,Nepal,Asia,5.75,27.333333,86.083333
BJU,Bajura Airport,Bajura,Nepal,Asia,5.75,29.366667,81.333333
BUD,Budapest Ferenc Liszt International Airport,Budapest,Hungary,Europe,2,47.433037,19.261621
AWT,Awantipur,Awantipur,India,Asia,5.5,33.876628,74.975681
USH,Malvinas Argentinas International Airport,Ushuaia,Argentina,South America,-3,-54.839347,-68.312449
RTM,Rotterdam The Hague Airport,Rotterdam,Netherlands,Europe,2,51.948949,4.433606
RST,Rochester International Airport,Rochester,United States,North America,-5,43.910793,-92.489768
HTY,Hatay Airport,Antakya,Turkey,Europe,3,36.364544,36.28057
YTF,Alma Airport,Alma,Canada,North America,-4,48.509654,-71.642714
ITA,Itacoatiara Airport,Itacoatiara,Brazil,South America,-4,-3.133333,-58.416667
AOK,Karpathos Airport,Karpathos,Greece,Europe,3,35.420683,27.146728
IZA,Zona da Mata Regional Airport,Juiz de Fora,Brazil,South America,-3,-21.513056,-43.173056
BQG,Bogorodskoye Airport,Bogorodskoye,Russian Federation,Europe,10,52.378334,140.44833
VBM,Blue Mountain Airport,Blue Mountain,United States,North America,-8,57.8575,-157.08667
ESL,Elista Airport,Elista,Russian Federation,Europe,3,46.370593,44.332967
VKT,Vorkuta Airport,Vorkuta,Russian Federation,Europe,3,67.486238,63.995203
DDU,Dadu Airport,Dadu,Pakistan,Asia,5,26.735803,67.671099
IXG,Sambre Airport,Belgaum,India,Asia,5.5,15.858611,74.618333
KJI,Kanasi Airport,Buerjin,China,Asia,8,48.22167,86.99611
DQA,Daqing Shi Airport ,Daqing,China,Asia,8,46.746985,125.133991
VDH,Dong Hoi Airport,Dong Hoi,Viet Nam,Asia,7,17.515,106.590556
OHS,Sohar Airport,Sohar,Oman,Middle East,4,24.395722,56.617474
ODO,Bodaybo Airport,Bodaybo,Russian Federation,Europe,8,57.866389,114.2425
NOU,Tontouta Airport,Noumea,New Caledonia,Oceania,11,-22.016389,166.216111
AGX,Agatti Island Airport,Agatti Island,India,Asia,5.5,10.828967,72.179874
DMM,King Fahad International Airport,Dammam,Saudi Arabia,Middle East,3,26.471111,49.797778
AVL,Asheville Regional Airport,Asheville,United States,North America,-4,35.43508,-82.537314
DUT,Unalaska Airport,Dutch Harbor,United States,North America,-8,53.894458,-166.542238
HIJ,Hiroshima Airport,Hiroshima,Japan,Asia,9,34.436111,132.919444
CBI,Cape Barren Island Airport,Cape Barren Island,Australia,Oceania,10,-40.388499,148.013444
SBP,San Luis Obispo County Regional Airport,San Luis Obispo,United States,North America,-7,35.239113,-120.640623
KMS,Kumasi Airport,Kumasi,Ghana,Africa,0,6.7125,-1.591111
PSR,Abruzzo Airport,Pescara,Italy,Europe,2,42.437222,14.187222
DUR,King Shaka International Airport,Durban,South Africa,Africa,2,-29.614444,31.116389
AEB,Baise Bama Airport,Baise,China,Asia,8,23.719469,106.967772
HUW,Humaita Airport,Humaita,Brazil,South America,-4,-7.537679,-63.069795
NKG,Nanjing Lukou International Airport,Nanking,China,Asia,8,31.735737,118.86652
LAW,Lawton-Fort Sill Regional Airport,Lawton,United States,North America,-5,34.569722,-98.416111
TGZ,Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,North America,-5,16.563611,-93.0225
KRB,Karumba Airport,Karumba,Australia,Oceania,10,-17.454991,140.831664
EBL,Erbil International Airport,Erbil,Iraq,Middle East,3,36.2375,43.963056
ZPC,Pucon Airport,Pucon,Chile,South America,-3,-39.763889,-71.633333
LUW,Bubung Airport,Luwuk,Indonesia,Asia,9,-1.035679,122.777376
BKZ,Bukoba Airport,Bukoba,United Republic of Tanzania,Africa,3,-1.331923,31.82253
AKT,Akrotiri Royal Air Force,Akrotiri,Cyprus,Europe,3,34.583333,32.983333
IWO,Iwo Jima Air Base,Iwo Jima Vol,Japan,Asia,9,24.783333,141.316667
ISP,Long Island MacArthur Airport,Ronkonkoma,United States,North America,-4,40.789314,-73.097546
GNY,Sanliurfa GAP Airport,Golgen,Turkey,Europe,3,37.44747,38.900313
SFG,Esperance Airport,Saint Martin,Saint Martin,Caribbean,-4,18.100555,-63.04889
ULD,Prince Mangosuthu Buthelezi Airport,Ulundi,South Africa,Africa,2,-28.283333,31.433333
DCN,RAAF Base Curtin,Curtin,Australia,Oceania,8,-17.580511,123.828597
CVJ,Cuernavaca Airport,Cuernavaca,Mexico,North America,-5,18.834609,-99.262273
AOT,Corrado Gex Airport,Aosta,Italy,Europe,2,45.738611,7.3625
MPW,Mariupol Airport,Mariupol,Ukraine,Europe,3,47.078846,37.451187
YCU,Yuncheng Airport,Yuncheng,China,Asia,8,35.114987,111.037051
KTR,Tindal Airport,Katherine,Australia,Oceania,9.5,-14.4575,132.271389
TII,Tereen Airport,Tarin Kot,Afghanistan,Asia,4.5,32.866667,65.633333
THU,Pituffik Airport,Pituffik,Greenland,North America,-3,76.533333,-68.7
RUN,Reunion Roland Garros Airport,Saint Denis de la Reunion,Reunion,Africa,4,-20.892,55.511877
SQQ,Siauliai International Airport,Siauliai,Lithuania,Europe,3,55.895292,23.39311
BVV,Burevestnik Airport,Burevestnik,Russian Federation,Europe,10,44.928645,147.613366
CYE,Crystal Lake Airport,Crystal Lake,United States,North America,-4,41.210278,-75.832222
DLE,Dole-Jura Airport,Dole,France,Europe,2,47.038254,5.428719
OPS,Sinop Airport,Sinop,Brazil,South America,-4,-11.878573,-55.58156
ZKE,Kashechewan Airport,Kaschechewan,Canada,North America,-4,52.333333,-81.333333
BIL,Billings Logan International Airport,Billings,United States,North America,-6,45.803419,-108.537229
YZV,Sept-Iles Airport,Sept-Iles,Canada,North America,-4,50.21751,-66.264036
SUJ,Satu Mare International Airport,Satu Mare,Romania,Europe,3,47.706094,22.883396
NTD,Naval Base Ventura County,Oxnard,United States,North America,-7,34.119199,-119.119432
DTM,Dortmund Airport,Dortmund,Germany,Europe,2,51.514826,7.613139
CGN,Cologne Bonn Airport,Cologne,Germany,Europe,2,50.878363,7.122224
BHV,Bahawalpur Airport,Bahawalpur,Pakistan,Asia,5,29.4,71.683333
OPF,Opa-locka Executive Airport,Miami,United States,North America,-4,25.90856,-80.274424
WLH,Walaha Airport,Walaha,Vanuatu,Oceania,11,-15.412913,167.691593
PRC,Prescott Airport,Prescott,United States,North America,-7,34.65,-112.424167
GEA,Noumea Magenta Airport,Noumea,New Caledonia,Oceania,11,-22.260536,166.470783
CRA,Craiova Airport,Craiova,Romania,Europe,3,44.318889,23.886389
KWT,Kwethluk Airport,Kwethluk,United States,North America,-8,60.808889,-161.4375
CGA,Craig Seaplane Base,Craig,United States,North America,-8,55.478383,-133.146166
LHR,London Heathrow Airport,London,United Kingdom,Europe,1,51.469603,-0.453566
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,North America,-4,33.682676,-78.922944
CNM,Carlsbad Airport,Carlsbad,United States,North America,-6,32.337222,-104.262778
FDH,Friedrichshafen Airport,Friedrichshafen,Germany,Europe,2,47.672775,9.523482
BAH,Bahrain International Airport,Bahrain,Bahrain,Middle East,3,26.269181,50.62605
PKR,Pokhara Airport,Pokhara,Nepal,Asia,5.75,28.198646,83.977761
NUI,Nuiqsut Airport,Nuiqsut,United States,North America,-8,70.209722,-151.005556
GYA,Guayaramerin Airport,Guayaramerin,Bolivia,South America,-4,-10.83,-65.361667
KBP,Boryspil International Airport,Kiev/Kyiv,Ukraine,Europe,3,50.341244,30.895207
PGK,Depati Amir Airport,Pangkal Pinang,Indonesia,Asia,7,-2.164017,106.137071
MMY,Miyako Airport,Miyako,Japan,Asia,9,24.779198,125.297786
BUS,Batumi Airport,Batumi,Georgia,Europe,4,41.610833,41.600556
PUJ,Punta Cana International Airport,Punta Cana,Dominican Republic,Caribbean,-4,18.562477,-68.363998
DJB,Sultan Thaha Airport,Jambi,Indonesia,Asia,7,-1.631628,103.638826
KXK,Khurba Airport,Komsomolsk Na Amure,Russian Federation,Europe,10,50.403117,136.933604
PAS,Paros Airport,Paros,Greece,Europe,3,37.066667,25.1
TAY,Tartu Airport,Tartu,Estonia,Europe,3,58.30969,26.690904
PSG,Petersburg Municipal Airport,Petersburg,United States,North America,-8,56.804167,-132.9425
SIP,Simferopol International Airport,Simferopol,Ukraine,Europe,3,45.020658,33.998193
BMC,Brigham City Airport,Brigham City,United States,North America,-6,41.549167,-112.062222
MHL,Memorial Municipal Airport,Marshall,United States,North America,-5,39.116667,-93.2
MSP,Minneapolis-St. Paul International Airport,Minneapolis,United States,North America,-5,44.883016,-93.210922
KZD,Krakor Airport,Krakor,Cambodia,Asia,7,12.533333,104.2
TNL,Ternopol Airport,Ternopol,Ukraine,Europe,3,49.566667,25.6
MHT,Manchester Boston Regional Airport,Manchester,United States,North America,-4,42.927862,-71.438439
DRK,Drake Bay Airport,Drake Bay,Costa Rica,Central America,-6,8.71962,-83.644603
DRG,Deering Airport,Deering,United States,North America,-8,66.071194,-162.759886
BXB,Babo Airport,Babo,Indonesia,Asia,9,-2.532486,133.441147
SZW,Parchim Airport,Schwerin,Germany,Europe,2,53.430391,11.78091
EBH,El Bayadh Airport,El Bayadh,Algeria,Africa,1,33.717803,1.094105
SJZ,Sao Jorge Island Airport,Sao Jorge Island,Portugal,Europe,0,38.664616,-28.16843
ISU,Sulaimaniyah International Airport,Sulaimaniyah,Iraq,Middle East,3,35.572389,45.302424
HYD,Rajiv Gandhi International Airport,Hyderabad,India,Asia,5.5,17.233702,78.430427
BER,Berlin Brandenburg Airport,Berlin,Germany,Europe,2,52.366667,13.503333
MYQ,Mysore Airport,Mysore,India,Asia,5.5,12.229991,76.653001
NBE,Enfidha - Hammamet International Airport ,Enfidha,Tunisia,Africa,1,36.08326,10.438738
SWT,Strzhewoi Airport,Strzhewoi,Russian Federation,Europe,7,60.5,77
IND,Indianapolis International Airport,Indianapolis,United States,North America,-4,39.71627,-86.292991
JKL,Kalymnos Island National Airport,Kalymnos,Greece,Europe,3,36.963333,26.940556
CAJ,Canaima Airport,Canaima,Venezuela,South America,-4.5,6.240634,-62.853511
CHU,Chuathbaluk Airport,Chuathbaluk,United States,North America,-8,61.583436,-159.238821
GOU,Garoua Airport,Garoua,Cameroon,Africa,1,9.336111,13.375556
TIQ,Tinian International Airport,Tinian,Northern Mariana Islands,Oceania,10,14.994319,145.626344
YCK,Colville Lake Airport,Colville Lake,Canada,North America,-6,67.039932,-126.090471
BII,Enyu Airfield,Bikini Atoll,Marshall Islands,Oceania,12,11.525081,165.565127
TFS,Tenerife South Airport,Tenerife,Spain and Canary Islands,Europe,1,28.044444,-16.5725
APO,Apartado Airport,Apartado,Colombia,South America,-5,7.817678,-76.71766
NAQ,Qaanaaq Airport,Qaanaaq,Greenland,North America,-3,77.489476,-69.382993
MVR,Salak Airport,Maroua,Cameroon,Africa,1,10.452222,14.256389
PZI,Pan Zhi Hua Bao An Ying,Pan Zhi Hua,China,Asia,8,26.538734,101.793861
SYM,Simao Airport,Simao,China,Asia,8,22.796569,100.96222
HLH,Ulanhot Airport,Ulanhot,China,Asia,8,46.193488,122.001482
KGX,Grayling Airport,Grayling,United States,North America,-8,62.895278,-160.0625
YTQ,Tasiujuaq Airport,Tasiujuaq,Canada,North America,-4,58.6678,-69.956328
MMX,Malmo Airport,Malmo,Sweden,Europe,2,55.538759,13.363727
ESC,Delta County Airport,Escanaba,United States,North America,-4,45.720556,-87.086667
SRY,Dashte Naz Airport,Sary,Iran,Asia,4.5,36.635727,53.197276
BIS,Bismarck Airport,Bismarck,United States,North America,-5,46.77448,-100.758211
YSJ,Saint John Airport,Saint John,Canada,North America,-3,45.32948,-65.890201
IXI,Lilabari Airport,Lilabari,India,Asia,5.5,27.288274,94.092061
SVU,Savusavu Airport,Savusavu,Fiji,Oceania,12,-16.798828,179.339123
ROR,Airai Airport,Koror,Palau,Oceania,9,7.364122,134.532892
SXV,Salem Airport,Salem,India,Asia,5.5,11.65,78.166667
GUM,A.B. Won Pat International Airport,Guam,Guam,Oceania,10,13.492787,144.804849
FTU,Marillac Airport,Fort Dauphin,Madagascar,Africa,3,-25.038056,46.955556
BIX,Keesler Air Force Base,Biloxi,United States,North America,-5,30.4,-88.883333
YOC,Old Crow Airport,Old Crow,Canada,North America,-7,67.568133,-139.849179
TAT,Poprad/Tatry Airport,Poprad/Tatry,Slovakia,Europe,2,49.073281,20.248118
ASD,Andros Town Airport,Andros Town,Bahamas,Caribbean,-4,24.697778,-77.796111
AXA,Clayton J. Lloyd International Airport,Anguilla,Anguilla,Caribbean,-4,18.205944,-63.051754
MOC,Montes Claros Airport,Montes Claros,Brazil,South America,-3,-16.707778,-43.817222
IFN,Isfahan International Airport,Isfahan,Iran,Asia,4.5,32.745686,51.876381
FEZ,Fes-Saiss Airport,Fez,Morocco,Africa,1,33.930791,-4.982138
BGA,Palonegro International Airport,Bucaramanga,Colombia,South America,-5,7.128045,-73.181394
VXO,Vaxjo Airport,Vaxjo,Sweden,Europe,2,56.925094,14.732046
MVB,M'Vengue El Hadj Omar Bongo Ondimba Intl Airport,Franceville,Gabon,Africa,1,-1.65,13.433333
LAS,McCarran International Airport,Las Vegas,United States,North America,-7,36.081,-115.147599
VTZ,Vishakhapatnam Airport,Vishakhapatnam,India,Asia,5.5,17.723596,83.22768
WVB,Rooikop Airport,Walvis Bay,Namibia,Africa,1,-22.978611,14.517222
ABE,Lehigh Valley International Airport,Allentown,United States,North America,-4,40.651573,-75.434366
ART,Watertown Airport,Watertown,United States,North America,-4,43.990833,-76.021389
AVV,Avalon Airport,Avalon,Australia,Oceania,10,-38.026372,144.473084
GBD,Great Bend Airport,Great Bend,United States,North America,-5,38.347222,-98.864167
AUK,Alakanuk Airport,Alakanuk,United States,North America,-8,62.689167,-164.610833
DBV,Dubrovnik Airport,Dubrovnik,Croatia,Europe,2,42.560718,18.260617
PMY,El Tehuelche Airport,Puerto Madryn,Argentina,South America,-3,-42.733333,-65.066667
SRJ,Capitan G Q Guardia Airport,San Borja,Bolivia,South America,-4,-14.816667,-66.833333
ABS,Abu Simbel Airport,Abu Simbel,Egypt,Middle East,2,22.367567,31.609773
GJL,Jijel Ferhat Abbas Airport,Jijel,Algeria,Africa,1,36.793625,5.8763
LCE,Goloson International Airport,La Ceiba,Honduras,Central America,-6,15.740556,-86.857222
MYA,Moruya Airport,Moruya,Australia,Oceania,10,-35.90251,150.147172
DGO,Guadalupe Victoria Airport,Durango,Mexico,North America,-5,24.125,-104.525
LBD,Khujand Airport,Khujand,Tajikistan,Asia,5,40.219887,69.6965
CMA,Cunnamulla Airport,Cunnamulla,Australia,Oceania,10,-28.031389,145.616111
NEV,Newcastle Airport,Nevis,St. Kitts and Nevis,Caribbean,-4,17.205,-62.5925
OPU,Balimo Airport,Balimo,Papua New Guinea,Asia,10,-8.033333,142.933333
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,North America,-4,42.885009,-85.529738
BOO,Bodo Airport,Bodo,Norway,Europe,2,67.27262,14.367839
TWB,Toowoomba Airport,Toowoomba,Australia,Oceania,10,-27.542222,151.913889
KAC,Kameshli Airport,Kameshli,Syrian Arab Republic,Middle East,3,37.031025,41.205558
BDA,L.F. Wade International Airport,Bermuda,Bermuda,Caribbean,-3,32.35994,-64.701148
FRS,Santa Elena Airport,Flores,Guatemala,Central America,-6,16.916667,-89.883333
KLU,Klagenfurt Airport,Klagenfurt,Austria,Europe,2,46.650122,14.324192
PNI,Pohnpei Airport,"Pohnpei, Caroline Islands",Micronesia,Oceania,11,6.980947,158.203343
EEK,Eek Airport,Eek,United States,North America,-8,60.216667,-162.016667
HKB,Healy Lake Airport,Healy Lake,United States,North America,-8,63.866667,-148.966667
RSJ,Rosario Sea Plane Base,Rosario,United States,North America,-7,48.646262,-122.870414
XQP,Quepos Airport,Quepos,Costa Rica,Central America,-6,9.439146,-84.133349
UBP,Ubon Ratchathani International Airport,Ubon Ratchathani,Thailand,Asia,7,15.246491,104.870683
MZL,La Nubia Airport,Manizales,Colombia,South America,-5,5.029005,-75.468782
EBD,El Obeid Airport,El Obeid,Sudan,Africa,3,13.159722,30.234167
BHI,Comandante Airport,Bahia Blanca,Argentina,South America,-3,-38.730556,-62.150556
KZI,Philippos Airport,Kozani,Greece,Europe,3,40.288611,21.841944
DAD,Da Nang International Airport,Da Nang,Viet Nam,Asia,7,16.053339,108.202753
LZC,Lazaro Cardenas Airport,Lazaro Cardenas,Mexico,North America,-5,18,-102.216667
YLE,Whati Airport,Whati/Lac La Martre,Canada,North America,-6,63.132944,-117.243177
BWI,Baltimore/Wash International Thurgood Marshall Airport,Baltimore,United States,North America,-4,39.179526,-76.668941
YGW,Kuujjuarapik Airport,Kuujjuarapik,Canada,North America,-4,55.279167,-77.766667
BST,Bost Airport,Bost,Afghanistan,Asia,4.5,31.55,64.366667
YFC,Fredericton International Airport,Fredericton,Canada,North America,-3,45.873161,-66.52978
LRR,Lar Airport,Lar,Iran,Asia,4.5,27.669689,54.38276
MSU,Moshoeshoe International Airport,Maseru,Lesotho,Africa,2,-29.301389,27.505556
AAE,Les Salines Airport,Annaba,Algeria,Africa,1,36.821392,7.811857
BMV,Phung-Duc Airport,Banmethuot,Viet Nam,Asia,7,12.666667,108.05
YFA,Fort Albany Airport,Fort Albany,Canada,North America,-4,52.241667,-81.591667
REP,Siem Reap International Airport,Siem Reap,Cambodia,Asia,7,13.408436,103.815927
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,Europe,0,63.426389,-20.277778
MNU,Mawlamyine Airport,Mawlamyine,Myanmar,Asia,6.5,16.444747,97.660669
TRO,Taree Airport,Taree,Australia,Oceania,10,-31.890273,152.508964
VGA,Vijayawada Airport,Vijayawada,India,Asia,5.5,16.529444,80.797222
GVR,Governador Valadares Airport,Governador Valadares,Brazil,South America,-3,-18.850278,-41.933333
SDE,Santiago Del Estero Airport,Santiago Del Estero,Argentina,South America,-3,-27.765278,-64.322222
GDL,Don Miguel Hidal Y Costilla International Airport,Guadalajara,Mexico,North America,-5,20.525986,-103.303984
VHM,Vilhelmina Airport,Vilhelmina,Sweden,Europe,2,64.616667,16.65
YQQ,Comox Airport,Comox,Canada,North America,-7,49.705865,-124.907815
YBL,Campbell River Airport,Campbell River,Canada,North America,-7,49.951726,-125.268126
GEG,Spokane International Airport,Spokane,United States,North America,-7,47.625147,-117.537638
ARK,Arusha Airport,Arusha,United Republic of Tanzania,Africa,3,-3.366667,36.683333
SDJ,Sendai Airport,Sendai,Japan,Asia,9,38.135556,140.923889
LOK,Lodwar Airport,Lodwar,Kenya,Africa,3,3.15,35.6
BOD,Bordeaux Airport,Bordeaux,France,Europe,2,44.83102,-0.70217
ASK,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,Africa,0,6.816667,-5.283333
IBZ,Ibiza Airport,Ibiza,Spain and Canary Islands,Europe,2,38.876595,1.367803
INZ,In Salah Airport,In Salah,Algeria,Africa,1,27.250807,2.511885
MUX,Multan Airport,Multan,Pakistan,Asia,5,30.199507,71.414978
LOP,Lombok International Airport,Praya,Indonesia,Asia,8,-8.761611,116.273838
PZE,Penzance Heliport,Penzance,United Kingdom,Europe,1,50.127545,-5.518258
ATK,Atqasuk Airport,Atqasuk,United States,North America,-8,70.5,-157.333333
BEY,Beirut-Rafic Hariri International Airport,Beirut,Lebanon,Middle East,3,33.826073,35.493082
CAI,Cairo International Airport,Cairo,Egypt,Middle East,2,30.120106,31.406469
CYZ,Cauayan Airport,Cauayan,Philippines,Asia,8,16.93,121.755833
PZO,Manuel Carlos Piar Guayana Airport,Puerto Ordaz,Venezuela,South America,-4.5,8.286533,-62.759138
RNS,Rennes Airport,Rennes,France,Europe,2,48.068064,-1.726249
JUJ,El Cadillal Airport,Jujuy,Argentina,South America,-3,-24.4,-65.083333
SHY,Shinyanga Airport,Shinyanga,United Republic of Tanzania,Africa,3,-3.608185,33.504487
KZS,Kastellorizo Airport,Kastellorizo,Greece,Europe,3,36.14167,29.576376
AKL,Auckland Airport,Auckland,New Zealand,Oceania,12,-37.004786,174.783524
DPO,Devonport Airport,Devonport,Australia,Oceania,10,-41.172056,146.427535
ITO,Hilo International Airport,Hilo,United States,North America,-10,19.714565,-155.039628
EYK,Beloyarsky Airport,Beloyarsky,Russian Federation,Europe,5,63.696682,66.701207
MEM,Memphis International Airport,Memphis,United States,North America,-5,35.044579,-89.982258
WBB,Stebbins Airport,Stebbins,United States,North America,-8,63.515411,-162.284634
PHF,Newport News/Williamsburg International Airport,Newport News,United States,North America,-4,37.130328,-76.502825
